"","from_gene","Mus_musculus","Homo_sapiens","to_symbol"
"Pzp","Pzp","11287",NA,NA
"Aanat","Aanat","11298",15,"AANAT"
"Aatk","Aatk","11302",9625,"AATK"
"Abca1","Abca1","11303",19,"ABCA1"
"Abca4","Abca4","11304",24,"ABCA4"
"Abca2","Abca2","11305",20,"ABCA2"
"Abcb7","Abcb7","11306",22,"ABCB7"
"Abcg1","Abcg1","11307",9619,"ABCG1"
"Abi1","Abi1","11308",10006,"ABI1"
"Abl1","Abl1","11350",25,"ABL1"
"Abl2","Abl2","11352",27,"ABL2"
"Scgb1b27","Scgb1b27","11354",NA,NA
"ac","ac","11358",NA,NA
"Acadl","Acadl","11363",33,"ACADL"
"Acadm","Acadm","11364",34,"ACADM"
"Acadvl","Acadvl","11370",37,"ACADVL"
"Acads","Acads","11409",35,"ACADS"
"Slc33a1","Slc33a1","11416",9197,"SLC33A1"
"Asic2","Asic2","11418",40,"ASIC2"
"Asic1","Asic1","11419",41,"ASIC1"
"Ace","Ace","11421",1636,"ACE"
"Ache","Ache","11423",43,"ACHE"
"Apoc4","Apoc4","11425",346,"APOC4"
"Macf1","Macf1","11426",23499,"MACF1"
"Aco1","Aco1","11428",48,"ACO1"
"Aco2","Aco2","11429",50,"ACO2"
"Acox1","Acox1","11430",51,"ACOX1"
"Acp1","Acp1","11431",52,"ACP1"
"Acp2","Acp2","11432",53,"ACP2"
"Acp5","Acp5","11433",54,"ACP5"
"Acr","Acr","11434",49,"ACR"
"Chrna1","Chrna1","11435",1134,"CHRNA1"
"Chrna4","Chrna4","11438",1137,"CHRNA4"
"Chrna6","Chrna6","11440",8973,"CHRNA6"
"Chrna7","Chrna7","11441",NA,NA
"Chrnb1","Chrnb1","11443",1140,"CHRNB1"
"Chrnb2","Chrnb2","11444",1141,"CHRNB2"
"Chrnd","Chrnd","11447",1144,"CHRND"
"Chrne","Chrne","11448",1145,"CHRNE"
"Chrng","Chrng","11449",1146,"CHRNG"
"Adipoq","Adipoq","11450",9370,"ADIPOQ"
"Acrv1","Acrv1","11451",56,"ACRV1"
"act","act","11452",NA,NA
"Acta1","Acta1","11459",58,"ACTA1"
"Actb","Actb","11461",60,"ACTB"
"Actc1","Actc1","11464",70,"ACTC1"
"Actg1","Actg1","11465",71,"ACTG1"
"Actg2","Actg2","11468",72,"ACTG2"
"Actl7a","Actl7a","11470",10881,"ACTL7A"
"Actl7b","Actl7b","11471",10880,"ACTL7B"
"Actn2","Actn2","11472",88,"ACTN2"
"Actn3","Actn3","11474",89,"ACTN3"
"Acta2","Acta2","11475",59,"ACTA2"
"Acvr1","Acvr1","11477",90,"ACVR1"
"Acvr1b","Acvr1b","11479",91,"ACVR1B"
"Acvr2a","Acvr2a","11480",92,"ACVR2A"
"Acvr2b","Acvr2b","11481",93,"ACVR2B"
"Acvrl1","Acvrl1","11482",94,"ACVRL1"
"Aspa","Aspa","11484",443,"ASPA"
"Ada","Ada","11486",100,"ADA"
"Adam10","Adam10","11487",102,"ADAM10"
"Adam11","Adam11","11488",4185,"ADAM11"
"Adam12","Adam12","11489",8038,"ADAM12"
"Adam15","Adam15","11490",8751,"ADAM15"
"Adam17","Adam17","11491",6868,"ADAM17"
"Adam19","Adam19","11492",8728,"ADAM19"
"Adam2","Adam2","11495",2515,"ADAM2"
"Adam22","Adam22","11496",53616,"ADAM22"
"Adam3","Adam3","11497",NA,NA
"Adam4","Adam4","11498",NA,NA
"Adam5","Adam5","11499",NA,NA
"Adam7","Adam7","11500",8756,"ADAM7"
"Adam8","Adam8","11501",101,"ADAM8"
"Adam9","Adam9","11502",8754,"ADAM9"
"Adamts1","Adamts1","11504",9510,"ADAMTS1"
"Adcy6","Adcy6","11512",112,"ADCY6"
"Adcy7","Adcy7","11513",113,"ADCY7"
"Adcy8","Adcy8","11514",114,"ADCY8"
"Adcy9","Adcy9","11515",115,"ADCY9"
"Adcyap1","Adcyap1","11516",116,"ADCYAP1"
"Adcyap1r1","Adcyap1r1","11517",117,"ADCYAP1R1"
"Add1","Add1","11518",118,"ADD1"
"Add2","Add2","11519",119,"ADD2"
"Plin2","Plin2","11520",123,"PLIN2"
"Adh1","Adh1","11522",126,"ADH1C"
"Adh7","Adh7","11529",131,"ADH7"
"Adh5","Adh5","11532",128,"ADH5"
"Adh5-ps1","Adh5-ps1","11533",NA,NA
"Adk","Adk","11534",132,"ADK"
"Adm","Adm","11535",133,"ADM"
"Gpr182","Gpr182","11536",11318,"GPR182"
"Cfd","Cfd","11537",1675,"CFD"
"Adnp","Adnp","11538",23394,"ADNP"
"Adora1","Adora1","11539",134,"ADORA1"
"Adora2a","Adora2a","11540",135,"ADORA2A"
"Adora2b","Adora2b","11541",136,"ADORA2B"
"Adora3","Adora3","11542",NA,NA
"Adprh","Adprh","11544",141,"ADPRH"
"Parp1","Parp1","11545",142,"PARP1"
"Parp2","Parp2","11546",10038,"PARP2"
"Adra1b","Adra1b","11548",147,"ADRA1B"
"Adra1a","Adra1a","11549",148,"ADRA1A"
"Adra1d","Adra1d","11550",146,"ADRA1D"
"Adra2a","Adra2a","11551",150,"ADRA2A"
"Adra2b","Adra2b","11552",151,"ADRA2B"
"Adra2c","Adra2c","11553",152,"ADRA2C"
"Adrb1","Adrb1","11554",153,"ADRB1"
"Adrb2","Adrb2","11555",154,"ADRB2"
"Adrb3","Adrb3","11556",155,"ADRB3"
"Adsl","Adsl","11564",158,"ADSL"
"Adssl1","Adssl1","11565",122622,"ADSS1"
"Adss","Adss","11566",159,"ADSS2"
"Avil","Avil","11567",10677,"AVIL"
"Aebp1","Aebp1","11568",165,"AEBP1"
"Aebp2","Aebp2","11569",121536,"AEBP2"
"Crisp1","Crisp1","11571",167,"CRISP1"
"Crisp3","Crisp3","11572",NA,NA
"Afp","Afp","11576",174,"AFP"
"ag","ag","11592",NA,NA
"Aga","Aga","11593",175,"AGA"
"Acan","Acan","11595",176,"ACAN"
"Ager","Ager","11596",177,"AGER"
"Angpt1","Angpt1","11600",284,"ANGPT1"
"Angpt2","Angpt2","11601",285,"ANGPT2"
"Angpt4","Angpt4","11602",51378,"ANGPT4"
"Agrn","Agrn","11603",375790,"AGRN"
"Agrp","Agrp","11604",181,"AGRP"
"Gla","Gla","11605",2717,"GLA"
"Agt","Agt","11606",183,"AGT"
"Agtr1a","Agtr1a","11607",NA,NA
"Agtr1b","Agtr1b","11608",185,"AGTR1"
"Agtr2","Agtr2","11609",186,"AGTR2"
"Agtrap","Agtrap","11610",57085,"AGTRAP"
"Agxt","Agxt","11611",189,"AGXT"
"Nr0b1","Nr0b1","11614",190,"NR0B1"
"Ahcyl","Ahcyl","11615",NA,NA
"Ahr","Ahr","11622",196,"AHR"
"Ahrr","Ahrr","11624",57491,"AHRR"
"Ahsg","Ahsg","11625",197,"AHSG"
"Aicda","Aicda","11628",57379,"AICDA"
"Aif1","Aif1","11629",199,"AIF1"
"Crybg1","Crybg1","11630",202,"CRYBG1"
"Aip","Aip","11632",9049,"AIP"
"Aire","Aire","11634",326,"AIRE"
"Ak1","Ak1","11636",203,"AK1"
"Ak2","Ak2","11637",204,"AK2"
"Ak4","Ak4","11639",205,"AK4"
"Akap1","Akap1","11640",8165,"AKAP1"
"Akap3","Akap3","11642",10566,"AKAP3"
"Akap4","Akap4","11643",8852,"AKAP4"
"Alpl","Alpl","11647",249,"ALPL"
"Akp3","Akp3","11648",NA,NA
"Alppl2","Alppl2","11650",NA,NA
"Akt1","Akt1","11651",207,"AKT1"
"Akt2","Akt2","11652",208,"AKT2"
"Alas1","Alas1","11655",211,"ALAS1"
"Alas2","Alas2","11656",212,"ALAS2"
"Alb","Alb","11657",213,"ALB"
"Alcam","Alcam","11658",214,"ALCAM"
"Abcd1","Abcd1","11666",215,"ABCD1"
"Aldh1a1","Aldh1a1","11668",NA,NA
"Aldh2","Aldh2","11669",217,"ALDH2"
"Aldh3a1","Aldh3a1","11670",218,"ALDH3A1"
"Aldh3a2","Aldh3a2","11671",NA,NA
"Aldoa","Aldoa","11674",226,"ALDOA"
"Aldoc","Aldoc","11676",230,"ALDOC"
"Akr1b3","Akr1b3","11677",231,"AKR1B1"
"Alk","Alk","11682",238,"ALK"
"Alox12","Alox12","11684",239,"ALOX12"
"Alox12e","Alox12e","11685",NA,NA
"Alox12b","Alox12b","11686",242,"ALOX12B"
"Alox15","Alox15","11687",NA,NA
"Alox8","Alox8","11688",247,"ALOX15B"
"Alox5","Alox5","11689",240,"ALOX5"
"Alox5ap","Alox5ap","11690",241,"ALOX5AP"
"alp","alp","11691",NA,NA
"Gfer","Gfer","11692",2671,"GFER"
"Alx3","Alx3","11694",257,"ALX3"
"Alx4","Alx4","11695",60529,"ALX4"
"am","am","11697",NA,NA
"Ambn","Ambn","11698",258,"AMBN"
"Ambp","Ambp","11699",259,"AMBP"
"amd","amd","11700",NA,NA
"Amd-ps1","Amd-ps1","11701",NA,NA
"Amd1","Amd1","11702",262,"AMD1"
"Amelx","Amelx","11704",265,"AMELX"
"Amh","Amh","11705",268,"AMH"
"Ampd3","Ampd3","11717",272,"AMPD3"
"Mat1a","Mat1a","11720",4143,"MAT1A"
"Amy1","Amy1","11722",NA,NA
"Ang","Ang","11727",283,"ANG"
"Ang-ps1","Ang-ps1","11728",NA,NA
"Ang3","Ang3","11730",NA,NA
"Ang2","Ang2","11731",NA,NA
"Ank","Ank","11732",56172,"ANKH"
"Ank1","Ank1","11733",286,"ANK1"
"Ank3","Ank3","11735",288,"ANK3"
"Ankfy1","Ankfy1","11736",51479,"ANKFY1"
"Anp32a","Anp32a","11737",8125,"ANP32A"
"Slc25a4","Slc25a4","11739",291,"SLC25A4"
"Slc25a5","Slc25a5","11740",292,"SLC25A5"
"anx","anx","11743",NA,NA
"Anxa11","Anxa11","11744",311,"ANXA11"
"Anxa3","Anxa3","11745",306,"ANXA3"
"Anxa4","Anxa4","11746",307,"ANXA4"
"Anxa5","Anxa5","11747",308,"ANXA5"
"Anxa6","Anxa6","11749",309,"ANXA6"
"Anxa7","Anxa7","11750",310,"ANXA7"
"Anxa8","Anxa8","11752",NA,NA
"ao","ao","11753",NA,NA
"Aoc3","Aoc3","11754",8639,"AOC3"
"Prdx3","Prdx3","11757",10935,"PRDX3"
"Prdx6","Prdx6","11758",9588,"PRDX6"
"Aox1","Aox1","11761",316,"AOX1"
"ap","ap","11763",NA,NA
"Ap1b1","Ap1b1","11764",162,"AP1B1"
"Ap1g1","Ap1g1","11765",164,"AP1G1"
"Ap1g2","Ap1g2","11766",8906,"AP1G2"
"Ap1m1","Ap1m1","11767",8907,"AP1M1"
"Ap1m2","Ap1m2","11768",10053,"AP1M2"
"Ap1s1","Ap1s1","11769",1174,"AP1S1"
"Fabp4","Fabp4","11770",2167,"FABP4"
"Ap2a1","Ap2a1","11771",160,"AP2A1"
"Ap2a2","Ap2a2","11772",161,"AP2A2"
"Ap2m1","Ap2m1","11773",1173,"AP2M1"
"Ap3b1","Ap3b1","11774",8546,"AP3B1"
"Ap3b2","Ap3b2","11775",8120,"AP3B2"
"Ap3d1","Ap3d1","11776",8943,"AP3D1"
"Ap3s1","Ap3s1","11777",1176,"AP3S1"
"Ap3s2","Ap3s2","11778",10239,"AP3S2"
"Ap4m1","Ap4m1","11781",9179,"AP4M1"
"Ap4s1","Ap4s1","11782",11154,"AP4S1"
"Apaf1","Apaf1","11783",317,"APAF1"
"Apba2","Apba2","11784",321,"APBA2"
"Apbb1","Apbb1","11785",322,"APBB1"
"Apbb2","Apbb2","11787",323,"APBB2"
"Apc","Apc","11789",324,"APC"
"Speg","Speg","11790",10290,"SPEG"
"Apex1","Apex1","11792",328,"APEX1"
"Atg5","Atg5","11793",9474,"ATG5"
"Birc3","Birc3","11796",NA,NA
"Birc2","Birc2","11797",329,"BIRC2"
"Xiap","Xiap","11798",331,"XIAP"
"Birc5","Birc5","11799",332,"BIRC5"
"Api5","Api5","11800",8539,"API5"
"Cd5l","Cd5l","11801",922,"CD5L"
"Aplp1","Aplp1","11803",333,"APLP1"
"Aplp2","Aplp2","11804",334,"APLP2"
"Apoa1","Apoa1","11806",335,"APOA1"
"Apoa2","Apoa2","11807",336,"APOA2"
"Apoa4","Apoa4","11808",337,"APOA4"
"Apobec1","Apobec1","11810",339,"APOBEC1"
"Apobec2","Apobec2","11811",10930,"APOBEC2"
"Apoc1","Apoc1","11812",341,"APOC1"
"Apoc2","Apoc2","11813",344,"APOC2"
"Apoc3","Apoc3","11814",345,"APOC3"
"Apod","Apod","11815",347,"APOD"
"Apoe","Apoe","11816",348,"APOE"
"Apoh","Apoh","11818",350,"APOH"
"Nr2f2","Nr2f2","11819",7026,"NR2F2"
"App","App","11820",351,"APP"
"Aprt","Aprt","11821",353,"APRT"
"Aqp1","Aqp1","11826",358,"AQP1"
"Aqp2","Aqp2","11827",359,"AQP2"
"Aqp3","Aqp3","11828",360,"AQP3"
"Aqp4","Aqp4","11829",361,"AQP4"
"Aqp5","Aqp5","11830",362,"AQP5"
"Aqp6","Aqp6","11831",363,"AQP6"
"Aqp7","Aqp7","11832",364,"AQP7"
"Aqp8","Aqp8","11833",343,"AQP8"
"Aqr","Aqr","11834",9716,"AQR"
"Ar","Ar","11835",367,"AR"
"Araf","Araf","11836",369,"ARAF"
"Rplp0","Rplp0","11837",6175,"RPLP0"
"Arc","Arc","11838",23237,"ARC"
"Areg","Areg","11839",374,"AREG"
"Arf1","Arf1","11840",375,"ARF1"
"Arf2","Arf2","11841",NA,NA
"Arf3","Arf3","11842",377,"ARF3"
"Arf4","Arf4","11843",378,"ARF4"
"Arf5","Arf5","11844",381,"ARF5"
"Arf6","Arf6","11845",382,"ARF6"
"Arg1","Arg1","11846",383,"ARG1"
"Arg2","Arg2","11847",384,"ARG2"
"Rhoa","Rhoa","11848",387,"RHOA"
