"","from_gene","Homo_sapiens","Mus_musculus","to_symbol"
"A1BG","A1BG","1",117586,"A1bg"
"A2M","A2M","2",NA,NA
"A2MP1","A2MP1","3",NA,NA
"NAT1","NAT1","9",17960,"Nat1"
"NAT2","NAT2","10",NA,NA
"NATP","NATP","11",NA,NA
"SERPINA3","SERPINA3","12",NA,NA
"AADAC","AADAC","13",67758,"Aadac"
"AAMP","AAMP","14",227290,"Aamp"
"AANAT","AANAT","15",11298,"Aanat"
"AARS1","AARS1","16",234734,"Aars"
"AAVS1","AAVS1","17",NA,NA
"ABAT","ABAT","18",268860,"Abat"
"ABCA1","ABCA1","19",11303,"Abca1"
"ABCA2","ABCA2","20",11305,"Abca2"
"ABCA3","ABCA3","21",NA,NA
"ABCB7","ABCB7","22",11306,"Abcb7"
"ABCF1","ABCF1","23",224742,"Abcf1"
"ABCA4","ABCA4","24",11304,"Abca4"
"ABL1","ABL1","25",11350,"Abl1"
"AOC1","AOC1","26",NA,NA
"ABL2","ABL2","27",11352,"Abl2"
"ABO","ABO","28",80908,"Abo"
"ABR","ABR","29",109934,"Abr"
"ACAA1","ACAA1","30",235674,"Acaa1b"
"ACACA","ACACA","31",107476,"Acaca"
"ACACB","ACACB","32",100705,"Acacb"
"ACADL","ACADL","33",11363,"Acadl"
"ACADM","ACADM","34",11364,"Acadm"
"ACADS","ACADS","35",11409,"Acads"
"ACADSB","ACADSB","36",66885,"Acadsb"
"ACADVL","ACADVL","37",11370,"Acadvl"
"ACAT1","ACAT1","38",110446,"Acat1"
"ACAT2","ACAT2","39",NA,NA
"ASIC2","ASIC2","40",11418,"Asic2"
"ASIC1","ASIC1","41",11419,"Asic1"
"ACHE","ACHE","43",11423,"Ache"
"ACLS","ACLS","46",NA,NA
"ACLY","ACLY","47",104112,"Acly"
"ACO1","ACO1","48",11428,"Aco1"
"ACR","ACR","49",11434,"Acr"
"ACO2","ACO2","50",11429,"Aco2"
"ACOX1","ACOX1","51",11430,"Acox1"
"ACP1","ACP1","52",11431,"Acp1"
"ACP2","ACP2","53",11432,"Acp2"
"ACP5","ACP5","54",11433,"Acp5"
"ACP3","ACP3","55",56318,"Acpp"
"ACRV1","ACRV1","56",11451,"Acrv1"
"ACTA1","ACTA1","58",11459,"Acta1"
"ACTA2","ACTA2","59",11475,"Acta2"
"ACTB","ACTB","60",11461,"Actb"
"ACTBP2","ACTBP2","62",NA,NA
"ACTBP3","ACTBP3","63",NA,NA
"ACTBP4","ACTBP4","64",NA,NA
"ACTBP6","ACTBP6","66",NA,NA
"ACTBP7","ACTBP7","67",NA,NA
"ACTBP8","ACTBP8","68",NA,NA
"ACTBP9","ACTBP9","69",NA,NA
"ACTC1","ACTC1","70",11464,"Actc1"
"ACTG1","ACTG1","71",11465,"Actg1"
"ACTG2","ACTG2","72",11468,"Actg2"
"ACTG1P1","ACTG1P1","73",NA,NA
"ACTG1P2","ACTG1P2","74",NA,NA
"ACTG1P3","ACTG1P3","75",NA,NA
"ACTG1P6","ACTG1P6","78",NA,NA
"ACTG1P7","ACTG1P7","79",NA,NA
"ACTG1P8","ACTG1P8","80",NA,NA
"ACTN4","ACTN4","81",60595,"Actn4"
"ACTG1P9","ACTG1P9","82",NA,NA
"ACTG1P10","ACTG1P10","83",NA,NA
"ACTL6A","ACTL6A","86",56456,"Actl6a"
"ACTN1","ACTN1","87",109711,"Actn1"
"ACTN2","ACTN2","88",11472,"Actn2"
"ACTN3","ACTN3","89",11474,"Actn3"
"ACVR1","ACVR1","90",11477,"Acvr1"
"ACVR1B","ACVR1B","91",11479,"Acvr1b"
"ACVR2A","ACVR2A","92",11480,"Acvr2a"
"ACVR2B","ACVR2B","93",11481,"Acvr2b"
"ACVRL1","ACVRL1","94",11482,"Acvrl1"
"ACY1","ACY1","95",109652,"Acy1"
"ACYP1","ACYP1","97",66204,"Acyp1"
"ACYP2","ACYP2","98",75572,"Acyp2"
"ADA","ADA","100",11486,"Ada"
"ADAM8","ADAM8","101",11501,"Adam8"
"ADAM10","ADAM10","102",11487,"Adam10"
"ADAR","ADAR","103",56417,"Adar"
"ADARB1","ADARB1","104",110532,"Adarb1"
"ADARB2","ADARB2","105",94191,"Adarb2"
"ADCP1","ADCP1","106",NA,NA
"ADCY1","ADCY1","107",432530,"Adcy1"
"ADCY2","ADCY2","108",210044,"Adcy2"
"ADCY3","ADCY3","109",104111,"Adcy3"
"ADCY5","ADCY5","111",224129,"Adcy5"
"ADCY6","ADCY6","112",11512,"Adcy6"
"ADCY7","ADCY7","113",11513,"Adcy7"
"ADCY8","ADCY8","114",11514,"Adcy8"
"ADCY9","ADCY9","115",11515,"Adcy9"
"ADCYAP1","ADCYAP1","116",11516,"Adcyap1"
"ADCYAP1R1","ADCYAP1R1","117",11517,"Adcyap1r1"
"ADD1","ADD1","118",11518,"Add1"
"ADD2","ADD2","119",11519,"Add2"
"ADD3","ADD3","120",27360,"Add3"
"ADFN","ADFN","122",NA,NA
"PLIN2","PLIN2","123",11520,"Plin2"
"ADH1A","ADH1A","124",NA,NA
"ADH1B","ADH1B","125",NA,NA
"ADH1C","ADH1C","126",11522,"Adh1"
"ADH4","ADH4","127",26876,"Adh4"
"ADH5","ADH5","128",11532,"Adh5"
"ADH6","ADH6","130",NA,NA
"ADH7","ADH7","131",11529,"Adh7"
"ADK","ADK","132",11534,"Adk"
"ADM","ADM","133",11535,"Adm"
"ADORA1","ADORA1","134",11539,"Adora1"
"ADORA2A","ADORA2A","135",11540,"Adora2a"
"ADORA2B","ADORA2B","136",11541,"Adora2b"
"ADORA2BP1","ADORA2BP1","137",NA,NA
